text,label,clean_tweet
128514 128514 128514 @user and ima steal his cat n replace it with a pitbull 128514 128514 128514 128514 @user @user he a bitch you should do it,1,ima steal cat n replace pitbull bitch
amp he's gone always be a hoe,1,go always hoe
...son of a bitch took my tic tacs. i like this movie.,1,son bitch take tic tacs like movie
..all i wanna do is get money and fuck model bitches! russell simmons,1,want get money fuck model bitch russell simmons
@user i probably wouldn 8217 t mind school as much if we didn 8217 t have to deal with bitch ass teachers . retweet,1,probably mind school much deal bitch teacher retweet
@user i'm a fucking fag they said,1,fucking fag say
@user females think dating a pussy is cute now? how does doing this stuff make him a pussy?,1,female think date pussy cute stuff make pussy
@user simplyaddictedtoguys woof woof hot scally lad,0,simplyaddictedtoguys woof woof hot scally lad
@user have ya ever asked your bitch for other bitches kanye voice yes,1,ya ever ask bitch bitch kanye voice yes
@user how u gone bring ur side bitch to a game where you know ya gf friends at ?! 128553 128553 128553 128553 i swear!!!!!,1,u go bring ur side bitch game know ya gf friend swear
@user woof woof and hot soles,0,woof woof hot sol
@user lemmie eat a oreo amp do these dishes. one oreo? lol,0,lemmie eat oreo dish one oreo lol
@user @user @user bitch fuck u maybe you'll get better. just,1,bitch fuck u maybe get good
@user fuck red malone man bitch ass niggah could you please use complete sentences?,1,fuck red malone man bitch niggah could please use complete sentence
@user why the eggplant emoji doe? y he say she looked like scream lmao,0,eggplant emoji doe say look like scream lmao
@user hennessey venom gt 128584 that's one sexy bitch,1,hennessey venom gt one sexy bitch
@user him seh me pussy wetter then a shower curtain....ahmesehwetness lt lmao!!,1,seh pussy wetter shower curtainahmesehwetness lt lmao
@user eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit,1,eaglesnation every eagle need see pic post bitch say racist shit
"@user yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life @user",1,yo fuck skateboard yall wood push faggot man ball life
@user baby monkey bathtime a this is soooo adorable!,0,baby monkey bathtime soooo adorable
@user 128514 128514 128514 128514 i ain't shit . damn skippy lol,1,not shit damn skippy lol
@user u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b gt 30 chance,1,u ever kill ant sidewalk think damn nigga way get pussy no b must b gt 30 chance
@user @user 0 rings 0 mvps 0 bitches lol,1,0 ring 0 mvp 0 bitch lol
"@user ppl talk bad about the ghetto hood ... but as a kid growing up, a nigga had funnnnnnn !",1,ppl talk bad ghetto hood kid grow nigga funnnnnnn
@user the facts on tattoos...tattoo he's a pussy with not tattooing them nipples,1,fact tattoostattoo pussy not tattoo nipple
@user 128175 128175 128175 @user bitches be wanting to act like niggas so bad 128553 128553 128553 that shit aint cuteeeee but niggas act like bitches..,1,bitch want act like nigga bad shit aint cuteeeee niggas act like bitch
@user get worshiping bitch! woof woof,1,get worshiping bitch woof woof
@user wow. @user i'm lost. are those buttcheek piercings? yeah she's a hoe,1,wow lose buttcheek piercings yeah hoe
"@user ok, sis. she'd rather be a broke bitch? shrugs she'll have to tell me how it works for her",1,ok si would rather broke bitch shrug tell work
@user @user @user queer gaywad,1,queer gaywad
@user @user faggot read my tweets after dat k it wasn't even funny lol,1,faggot read tweet dat k not even funny lol
@user this bitch was so ungrateful fr ..... lulwhore,1,bitch ungrateful fr lulwhore
@user i been kidnapped yo bitch,1,kidnap yo bitch
@user @user alsarabsss hes a beaner smh you can tell hes a mexican,1,alsarabsss hes beaner smh tell hes mexican
@user @user happy birthday nigs thanks yo,1,happy birthday nigs thanks yo
@user when ur teacher tells u that u have homework this bitch need to go!!!,1,ur teacher tell u u homework bitch need go
@user @user @user that nigga was eating that hoe lol hell yea lol john paul nigga said john paul..,1,nigga eat hoe lol hell yea lol john paul nigga say john paul
@user what would y'all lil ugly bald headed bitches do if they stop making make up amp weave?,1,would yall lil ugly bald head bitch stop make make weave
@user leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig,1,leafs well win damn game go riot shit earlychristmas good start loot nig
@user going back to school sucks more dick than the hoes who attend it.,1,go back school suck dick hoe attend
@user on my way to fuck yo bitch me as a 9 year old,1,way fuck yo bitch 9 year old
@user @user how come you never bring me food i dont have a car retard,1,come never bring food dont car retard
@user if richnow doesn't show up with hella tinder hoes im not his friend anymore chill i brought like like 8 prople,1,richnow not show hella tinder hoe im not friend anymore chill bring like like 8 prople
@user how bout them cowboys!!!! shutup pussy,1,bout cowboys shutup pussy
@user lmaooooooooooo this nigga @user lt bitch want likes for some depressing shit..foh,1,lmaooooooooooo nigga lt bitch want like depressing shitfoh
@user @user girl you know i was spitting that g shit to you amp you was going lbvs bitch plz,1,girl know spit g shit go lbvs bitch plz
"@user let me make a couple tweets off cuzzo page, so i won't get in twitter jail. lmao bitch don't trick me again",1,let make couple tweet cuzzo page not get twitter jail lmao bitch not trick
@user harlem shake is just an excuse to go full retard for 30 seconds.,1,harlem shake excuse go full retard 30 second
@user amen miley 128591 but she don't need to act like a hoe just bc she's emotionally damaged foh,1,amen miley not need act like hoe bc emotionally damage foh
"@user having one loyal female is wayyyyy better than having hoes , idc 128175",1,one loyal female wayyyyy good hoe idc
@user pussy licking pussy.... meow meow stopwhitepeople2014 128049 128533,1,pussy lick pussy meow meow stopwhitepeople2014
@user check out our 12th man. cowboysnation even with all those faggot ny fans in the stands,1,check 12th man cowboysnation even faggot ny fan stand
@user what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,1,happen vixen ent bitch get ran throw side like foothill bitch
@user @user im the bitch okay nudes pat 128554 128527 128056 wow,1,im bitch okay nude pat wow
"@user @user you're fucking gay, blacklisted hoe holding out for tehgodclan anyway",1,fuck gay blacklist hoe hold tehgodclan anyway
@user the fuck be wrong with these bitches? nobody knows,1,fuck wrong bitch nobody know
@user yall shut up p make me bitch,1,yall shut p make bitch
@user i hate a i'm pregnant type of bitch.,1,hate pregnant type bitch
@user got bitches in the dm but i don't ever read'em which is y your top 3,1,get bitch dm not ever readem top 3
@user baseball season for the win. yankees this is where the love started,0,baseball season win yankees love start
@user little stupid as bitch i don't fuck with yoooooouuuu..,1,little stupid bitch not fuck yoooooouuuu
"@user she really asked me that dead ass serious tho, all i could say was bitch wheet lol",1,really ask dead serious tho could say bitch wheet lol
"@user i'm an early bird and i'm a night owl, so i'm wise and have worms.",0,early bird night owl wise worm
@user overdosing on heavy drugs doesn't sound bad tonight. i do that pussy shit every day.,0,overdose heavy drug not sound bad tonight pussy shit every day
@user pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures.,0,pit bull photograph lovely fairy tale creature fairy tale creature
"@user @user aw. ...fag, don't tweet aw to me lol",1,aw fag not tweet aw lol
"@user as long as the lakers trash from now on, i could careless. and that's real. . cc @user hahaha",0,long lakers trash could careless real cc hahaha
@user @user i didn't say anything tho kiss me then faggot,1,not say anything tho kiss faggot
"@user this the i play soccer, cheat on girls, and wear khaki coloured cargos haircut 128514 yup",0,play soccer cheat girl wear khaki colour cargos haircut yup
@user i could go for a fat ass bitch on my lap same,1,could go fat bitch lap
@user 17 missed calls!!!! 128544 128545 das yo p.o bitch twitter finna be screamn freemoneymelle,1,17 missed call das yo po bitch twitter finna screamn freemoneymelle
@user ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving lmmfao 128514 128514 128514 128514,1,ya side bitch get know rule shitanybody ask cousin jersey thinkin bout move lmmfao
@user 8220 @user 3 amo los pies fuck yeah,1,3 amo los pie fuck yeah
@user these hoes be thinking meat won't slap they ass 128564 128075 ainna bruh,1,hoe think meat not slap ass ainna bruh
@user yall bitches wit no edges be doing the most talking 128553 128564 9995 128514 128514 128514,1,yall bitch wit no edge talk
@user yall still going trick or treating this year or nah? hell yeah ima be da sweet tooth bandit steal bitches bags n shit,1,yall still go trick treat year nah hell yeah ima da sweet tooth bandit steal bitch bag n shit
@user i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck,1,want sex mom fuck right pussy come damn get hack like fuck
@user if she kiss u with her eyes open watch that bitch! lmfao,1,kiss u eye open watch bitch lmfao
@user you a woulda coulda shoulda ass hoe 128563 128586,1,woulda coulda shoulda hoe
@user happy bday bitch ass nigga @user preciate that bitch roll up!,1,happy bday bitch nigga preciate bitch roll
@user @user @user used to send that bitch up,1,use send bitch
@user ugly bitches be like i'm my own wcw duh bitch you ain't nobody elses 128514 128514,1,ugly bitch like wcw duh bitch not nobody elses
"@user @user nigga you know we hacky sack hoes. ...nah, i throw no look passes lmao",1,nigga know hacky sack hoe nah throw no look pass lmao
@user glad i'm getting outta atlanta. nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em.,1,glad get outta atlanta nothing bunch nigga outta jail dumb bitch mad kid fuckin em
@user this isn't ghetto.....it's smart i'm doing this idc,0,not ghettoit smart idc
@user i would wife a hoe only cuz we wouldn't care that we cheating in each other. ...why force the relationship in the first place?,1,would wife hoe cuz would not care cheat force relationship first place
@user being single isn't an excuse to be a hoe. @user,1,single not excuse hoe
@user white boy power bitch black power bitch,1,white boy power bitch black power bitch
"@user lets get drunk, get blowed, spit shit spark blunts amp fuck hoes! bro white dudes have no chill.",1,let get drunk get blow spit shit spark blunts fuck hoe bro white dude no chill
@user @user bitch where u been around the world and back. where you been?,1,bitch u around world back
@user @user if i don't get my dick sucked at yo party by a bad bitch i'm fr gone set it off 128514 128514 128514 128514 by @user,1,not get dick suck yo party bad bitch fr go set
@user oomf is soooo cute. but he probably has hoes on him a lot.,1,oomf soooo cute probably hoe lot
@user in every cartoon theirs alway a @user saving these hoes lmao. lmao damn captain saveahoe,1,every cartoon alway save hoe lmao lmao damn captain saveahoe
@user who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs,0,want get nose bad bois scally chav sockfetish stink hot sox leg
@user i wish i was a bitch like my brother keezy 128530 ooooow i bet you do,1,wish bitch like brother keezy ooooow bet
@user if you dressed up as a cat for halloween you are basic. ...or a pussy,1,dress cat halloween basic pussy
@user can pornhub just get a gaming stream feature so these dumb bitches can gtfo @user get on it katie lt 3,1,pornhub get gaming stream feature dumb bitch gtfo get katie lt 3
@user stop being scared to choke her during sex u bitch ass niggas. she 8217 ll like it. . says the guy who hits women out of bed. foh,1,stop scar choke sex u bitch nigga like say guy hit woman bed foh
@user @user ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig,1,ha well iguess make hoe loyal bro theyll never loyal hoe nig
"@user @user oh man.. its 5 am, you off a molly, ho where the fuck ya seed at?? fixed",1,oh man 5 molly ho fuck ya seed fix
@user you're not a man if you refer to every girl as a bitch,1,not man refer every girl bitch
@user lmfao this cat started beating the shit out of me my nigga finally got some pussy?!? my nigga!!!,1,lmfao cat start beat shit nigga finally get pussy nigga
@user peel up peel up bring it back up rewind back where i'm from they move shaq from the line ooooow who tf said that trash!!?,0,peel peel bring back rewind back move shaq line ooooow tf say trash
@user @user io io alu record ho vine sai pe hahahaha lol anywaaaaaays..... haha,1,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
@user @user naw it's my old tape. new cover . my upcoming mixtape is kingofthehill yeah i'm waiting on that hoe mayne!,1,naw old tape new cover upcoming mixtape kingofthehill yeah wait hoe mayne
@user ol dirty foot ass bitches.. this was too funny to me.,1,ol dirty foot bitch funny
@user @user that's where i get my yellow flags for being amazing 128079 128524 hell yeah niggy,1,get yellow flag amazing hell yeah niggy
@user don't got time for bitches to be actin iffy.,1,not get time bitch actin iffy
@user ucfpinkparty come on stay alive knights nation!!!! this is still the early bird special. comeatmeut,0,ucfpinkparty come stay alive knight nation still early bird special comeatmeut
@user these hoes ain't loyal no they ain't smfh amp wonder why nobody decent wants them,1,hoe not loyal no not smfh wonder nobody decent want
"@user bruh, you studs keep thinking i'm soft as hell. ask ya girl how many times she screamed she was my bitch. oh okay. stfu. bye hoe!",1,bruh stud keep thinking soft hell ask ya girl many time scream bitch oh okay stfu bye hoe
@user dry pussy bitches always blame it on the condom 128514 128079 128514 128079 128514,1,dry pussy bitch always blame condom
@user shut yo bitch ass up! 128557 128514,1,shut yo bitch
@user gucci mane in jail and dropping mixtapes every month and you hoes can't even text back,1,gucci mane jail drop mixtapes every month hoe not even text back
@user you love these hoes more then money wats wrong these niggas,1,love hoe money wats wrong nigga
@user a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo. ...sounding like me over there lol,1,loyal bitch burbs without daddy issue like find holographic mewtwo sound like lol
"@user easy cum, easy hoe that's a fact !",1,easy cum easy hoe fact
@user charlie sheen is too real major fucking respect for charlie sheen.,1,charlie sheen real major fuck respect charlie sheen
@user wish i had a bae 128533 you got all the hoes tho,1,wish bae get hoe tho
@user fuck twerking bitch can you cook ?,1,fuck twerking bitch cook
@user @user bitch wtf,1,bitch wtf
"@user 8220 @user @user shut up zoe fight me pussy 8221 for zoe? i'm good, man. you are good ma'am. move along now",1,shut zoe fight pussy zoe good man good maam move along
@user lmao fucking snake bitches @ em,1,lmao fuck snake bitch em
@user big booty hoes everywhere sheesh 128525 damn 127807 128064 127807,1,big booty hoe everywhere sheesh damn
@user stay tuned to @user for an update on the report that @user 1b @user will be out 8 10 weeks @user bum,0,stay tune update report 1b 8 10 week bum
"@user 8220 @user i play soccer, cheat on girls, and wear khaki coloured cargos haircut yes lmfao @user",0,play soccer cheat girl wear khaki colour cargos haircut yes lmfao
@user oregon chokes every year get off the field trash ass program rft,1,oregon choke every year get field trash program rft
"@user def not cowboy lol @user terrell owens was the best eagle amp cowboy ever ..dude cried like a bitch on tv, over romo",1,def not cowboy lol terrell owen best eagle cowboy ever dude cry like bitch tv romo
@user lmfaoooo i hate black people this is why there's black people and niggers,1,lmfaoooo hate black people black people nigger
@user @user @user how could u do this to me bitch potent,1,could u bitch potent
@user a pissed lad past out. i would lick his dirty soles while he slept.,0,pissed lad past would lick dirty sol sleep
@user love frat boy w soft long soles,0,love frat boy w soft long sol
@user sexy lad with hot soles and arches.,0,sexy lad hot sol arch
@user @user nah fam i gotta cheat with the hoes depends on the female i feel,1,nah fam get cheat hoe depend female feel
@user @user 128079 128079 128079 128079 128588 i got hicks lol,0,get hick lol
@user this new twitter is confusing the shit out of me. go back to south america bitch,1,new twitter confuse shit go back south america bitch
@user toto means ass or vagina? i think pussy cause toto santi is like nasty pussy,1,toto mean vagina think pussy cause toto santi like nasty pussy
@user but what if he actually does choose the ugly bitch over you? 58381 her ass must be fat!,1,actually choose ugly bitch must fat
@user bitch couldn't kill my vibe if ya tried. 127752 127752 127752 dis why i love miley,1,bitch could not kill vibe ya try dis love miley
"@user i'm tired of bitches saying i look mean.. 128530 nigga you big af, wear tight shirts, and grim everybody.",1,tire bitch say look mean nigga big af wear tight shirt grim everybody
"@user 10 birds your grandkids may never see, thanks to climate change climate",0,10 bird grandkids may never see thanks climate change climate
@user stay beautiful you bitch,1,stay beautiful bitch
@user wutkinda r purple. ceeeleee man this gurl was jus playin on the stupid hoe track. but in still shitted on sum gurls,1,wutkinda r purple ceeeleee man gurl jus playin stupid hoe track still shit sum gurls
@user money getting taller and bitches getting blurry,1,money get taller bitch get blurry
@user i ain't never seen a bitch so obsessed with they nigga 128514 i'm obsessed with mine 128529,1,not never see bitch obsess nigga obsess mine
@user kobe stay talking trash. but let's not forget @user i meant to do this one. smh.,1,kobe stay talk trash let u not forget meant one smh
@user at least i'm not a nigger lmfao,1,least not nigger lmfao
@user people always asking me what i'm mixed with. she a bad asian bitch lol,1,people always ask mixed bad asian bitch lol
@user @user ariza is a snake and a coward but at least he isn't a cripple like your hero roach lmaoo,1,ariza snake coward least not cripple like hero roach lmaoo
@user 8220 @user fosters home for imaginary trash 8221 whoa chill that show was everything tf,0,foster home imaginary trash whoa chill show everything tf
"@user i am lowkey tired. ...if you tired, be quiet and go to sleep hoe!",1,lowkey tire tire quiet go sleep hoe
@user 8220 @user stop bringing weird niggers into my mentions! @user 8221,1,stop bring weird nigger mention
@user we don't love these hoes 128080 128581,1,not love hoe
@user if yo girl cant have homeboys you a ol weak bitch ass nigga!,1,yo girl cant homeboys ol weak bitch nigga
@user @user i think worst advice i gave you was don't be a pussy and speed up lol,1,think worst advice give not pussy speed lol
@user quote this tweet with your favorite animal. pussy,1,quote tweet favorite animal pussy
"@user i hate when strippers tell you they're dancers . hoe, ballet dancers don't pop their pussy to beethoven. you a stripper!",1,hate stripper tell dancer hoe ballet dancer not pop pussy beethoven stripper
@user andrewbryant poff has double vision after 2 beers poff ... double pussy 128526 smh,1,andrewbryant poff double vision 2 beer poff double pussy smh
"@user when bitches twerk on the computer.... me in ya 128089 , in ya damn 128089 8252 65039",1,bitch twerk computer ya ya damn
"@user 8220 @user 8220 @user @user prince, this is art. nobody takin his bitch!",1,prince art nobody takin bitch
@user 61 of welfare government aid is claimed by white people. so y'all black slander is trash now.,0,61 welfare government aid claim white people yall black slander trash
@user these bitches don't care they just play that role.,1,bitch not care play role
"@user it took a while for you to find me, but i was hiding in the lime tree. @user dis bitch in da wrong tree bro.",1,take find hide lime tree dis bitch da wrong tree bro
"@user drakes new shoes that will be released by nike jordan.... yes, there's glitter on the shoes ....dudes a fag",1,drake new shoe release nike jordan yes glitter shoe dudes fag
@user @user inna di ghetto!!! you alone lmaoo,0,inna di ghetto alone lmaoo
@user 8220 @user @user @user hoes austin 8221 teach us austin. i teach u how to get curved? that's all i know,0,hoe austin teach u austin teach u get curve know
@user bitches can't cook but know how to suck dick .. s o to the ones that can do both!,1,bitch not cook know suck dick one
@user fat hoes get chose lol,1,fat hoe get chose lol
"@user hoesaintloyal well they're hoes,no one expects them to be loyal",1,hoesaintloyal well hoesno one expect loyal
@user @user @user ol bitch ass,1,ol bitch
@user bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo,1,bruh im tire nigga retweetin miley cyrus naked bitch aint no type bad lmaooo
@user just because tony romo at the mavs game dont mean he still not a bitch lmao.. fuk them cowgirls lol bitch fuck you,1,tony romo mavs game dont mean still not bitch lmao fuk cowgirls lol bitch fuck
"@user holy shit, freddie highmore was in charlie and the chocolate factory me rolls on the floor, laughing",1,holy shit freddie highmore charlie chocolate factory roll floor laughing
@user i don't want to have sex with my gf because i feel like i'm using her.. anonymous whata faggot,1,not want sex gf feel like use anonymous whata faggot
"@user @ one of your followers with this 128525 128553 @ somebody, bitch if you don't",1,one follower somebody bitch not
@user if ya bitch always bitching clearly she care! or just an annoying bitch!,1,ya bitch always bitch clearly care annoying bitch
@user these catfish hoes thinkin they slick.. but niggas catching on 128524,1,catfish hoe thinkin slick niggas catch
@user can't worry about a bitch that ain't worried bout me real,1,not worry bitch not worry bout real
@user side hoes are for insecure niggas that can't handle a real one.,1,side hoe insecure nigga not handle real one
@user 128514 128514 128514 128514 @user lmao! this bitch come scooting in the tent like she about to fuck some shit up! 128557 128557 128557,1,lmao bitch come scooting tent like fuck shit
@user my cousin said he share hoes with his brothers. he said sharing is caring and he love his brothers 128514,1,cousin say share hoe brother say sharing care love brother
@user i'm hungry but ionn wanna spend my money on food 128530 broke hoe problems 128514 128514 128514 128128,1,hungry ionn want spend money food break hoe problem
@user dese hoes be lyin to all of us nigga,1,dese hoe lyin u nigga
@user oh yeah fuck that bitch,1,oh yeah fuck bitch
@user eli manning just threw his nfl leading 27th interception of the season. lmao trash,0,eli manning throw nfl lead 27th interception season lmao trash
@user usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team. 187 he's a bitch,0,usc senior rb anthony brown call head coach steve sarkisian racist quit team 187 bitch
@user guess what? i also have zero time for your mansplaining! adios! stfu pussy,1,guess also zero time mansplaining adios stfu pussy
@user chilling 128069 8482 sexy scally lad,0,chill sexy scally lad
@user i ain't sharing no bitch if you mines you mines 128175,1,not share no bitch mine mine
@user money only impress the simple broke bitches,1,money impress simple broke bitch
"@user pisces will never be anybody's bitch, they don't let people control or change them. rigghhht",1,pisces never anybodys bitch not let people control change rigghhht
@user @user @user tuku ho idk blah blah blah 128514 128514 128514,0,tuku ho idk blah blah blah
@user @user @user i'm not mad cuh hahaha suure.. tuku ho ita! 128514 128514,0,not mad cuh hahaha suure tuku ho ita
@user these hoes is crazy,1,hoe crazy
@user you ain't ever gonna be a slice bitch. kevin hart.,1,not ever go slice bitch kevin hart
"@user oomf so fuckin fine tho 128553 dam @ her, don't be no bitch.",1,oomf fuckin fine tho dam not no bitch
@user i wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags,1,wonder girl give head 24 boy drink magaluf twitter probly send nude fag
"@user newsatquestions yeah bitch, yeah bitch, call me _______ a. maybe b. steve o c. later d. jesse pinkman @user",1,newsatquestions yeah bitch yeah bitch call _______ maybe b steve c later jesse pinkman
@user hickies in between her thighs right by her pussy gt gt gt its only right,1,hickies thigh right pussy gt gt gt right
@user would you still love me when i'm no longer young and beautiful? no. ugly monkey ass.,1,would still love no longer young beautiful no ugly monkey
@user @user @user y'all come through the front. bitch i ain't coming,1,yall come front bitch not come
@user @user faggot bitch,1,faggot bitch
"@user @user yea, i'm on my ipad. i don't work this friday. let's ball this faggot up @user i work 2 5",1,yea ipad not work friday let u ball faggot work 2 5
@user this scally lad would get it,0,scally lad would get
@user gerryshalloweenparty halloween was yesterday stupid nigger,1,gerryshalloweenparty halloween yesterday stupid nigger
"@user chrus still supahot tho walks up to teacher with test, drops test in that bitch fohead",1,chrus still supahot tho walk teacher test drop test bitch fohead
@user 8220 @user i love eating pussy lol i never get full lol 8221 i can eat that shit forever lol and ever.,1,love eat pussy lol never get full lol eat shit forever lol ever
@user 8220 @user @user 8220 @user no slushes 128549 8221 hoes nasty anyway fam 128564 8221 them hoes taste like meds 127815 127815 127868,1,no slush hoe nasty anyway fam hoe taste like med
@user 8220 @user no slushes 128549 8221 hoes nasty anyway fam 128564,1,no slush hoe nasty anyway fam
@user bobby bitch by @user be getting me live as fuck hell yea i play that hoe before my workout,1,bobby bitch get live fuck hell yea play hoe workout
@user yo bitch is gucci mane @user my bitch a stoner 128175 128175,1,yo bitch gucci mane bitch stoner
@user i can ride your bitch with no handle bars,1,ride bitch no handle bar
@user and if you ain't a hoe get up out my traphoussseeeee,1,not hoe get traphoussseeeee
@user 15 sad tv character deaths we're still bitter over... stark was the man,0,15 sad tv character death still bitter stark man
@user these harbor bitches are all party bus hoes lol all?,1,harbor bitch party bus hoe lol
@user @user pussy love it,1,pussy love
"@user ultraviolence video, its coming you little bitch! mtvhottest lana del rey bitchy promo",1,ultraviolence video come little bitch mtvhottest lana del rey bitchy promo
@user on my way to fuck your bitch lmfao kittycopter,1,way fuck bitch lmfao kittycopter
@user a smuggler explains how he helped fighters along the jihadi highway,0,smuggler explain help fighter along jihadi highway
@user @user aww their avis look so cute together 128145 128128 128128 128128 do i gotta get ike avi on this bitch ?,1,aww avis look cute together get get ike avi bitch
"@user @user its simple, dont be a hoe dont worry about being exposed 128540 fight me why ?",1,simple dont hoe dont worry expose fight
@user whys this bitch boosting herself her size isn't exactly the most healthy tho,1,bitch boost size not exactly healthy tho
@user @user bet not be no bitches! 128514 128080 128299 128299 128298 128514 128514 kim bye!!!,1,bet not no bitch kim bye
@user damn near gotta protect my tweets.. stalkers being annoying you got that dope dick. drive these bitches loco,1,damn near get protect tweet stalker annoy get dope dick drive bitch loco
@user i'm making marack my girlfriend . @user aye b you pullin hoes just like o taught you,1,make marack girlfriend aye b pullin hoe like taught
@user bruno fag boy you love me.,1,bruno fag boy love
